trip_id,employee_id,department,travel_category,origin,destination,travel_date,return_date,cabin_class,distance_km,nights,vendor,amount_usd,currency,booking_ref
TRP-2024-0001,EMP-1042,Engineering,flight,BLR,LHR,2024-01-08,2024-01-15,economy,,,,1840.00,USD,BA-XK29H1
TRP-2024-0002,EMP-0871,Sales,flight,BOM,SIN,2024-01-10,2024-01-12,business,,,,2100.00,USD,SQ-TY88K2
TRP-2024-0003,EMP-1042,Engineering,hotel,,LHR,2024-01-08,2024-01-15,,,7,Marriott Heathrow,1260.00,USD,MR-004821
TRP-2024-0004,EMP-0331,Finance,flight,DEL,DXB,2024-01-14,2024-01-16,economy,,,,580.00,USD,EK-PQ77M3
TRP-2024-0005,EMP-0331,Finance,hotel,,DXB,2024-01-14,2024-01-16,,,2,Hilton Dubai,480.00,USD,HH-009341
TRP-2024-0006,EMP-1105,HR,ground_taxi,,BLR,2024-01-15,,,,,,42.00,USD,UBER-BLR
TRP-2024-0007,EMP-0871,Sales,hotel,,SIN,2024-01-10,2024-01-12,,,2,Marina Bay Sands,980.00,USD,MB-221104
TRP-2024-0008,EMP-0554,Engineering,flight,BLR,BOM,2024-01-18,2024-01-18,economy,1090,,,210.00,USD,6E-RT55P4
TRP-2024-0009,EMP-0554,Engineering,ground_rail,,BOM,2024-01-18,,,,,,18.00,USD,IRCTC-BOM
TRP-2024-0010,EMP-1220,Sales,flight,BLR,JFK,2024-01-22,2024-01-29,business,,,,4800.00,USD,AA-WX14Q9
TRP-2024-0011,EMP-1220,Sales,hotel,,JFK,2024-01-22,2024-01-29,,,7,Hyatt Midtown,3290.00,USD,HY-558821
TRP-2024-0012,EMP-0212,Operations,ground_rental,,DEL,2024-01-23,2024-01-25,,,,,185.00,USD,HERTZ-DEL
TRP-2024-0013,EMP-0789,Engineering,flight,BLR,SFO,2024-02-05,2024-02-12,economy,,,,1650.00,USD,UA-GH33K7
TRP-2024-0014,EMP-0789,Engineering,hotel,,SFO,2024-02-05,2024-02-12,,,7,Marriott Union Square,2940.00,USD,MR-009812
TRP-2024-0015,EMP-0445,Finance,flight,DEL,LHR,2024-02-07,2024-02-09,economy,,,,1200.00,USD,BA-QR19W2
TRP-2024-0016,EMP-0445,Finance,hotel,,LHR,2024-02-07,2024-02-09,,,2,Premier Inn Heathrow,340.00,USD,PI-001234
TRP-2024-0017,EMP-1042,Engineering,flight,LHR,BLR,2024-02-10,2024-02-10,economy,,,,1750.00,USD,BA-XK29H2
TRP-2024-0018,EMP-0901,Sales,flight,BOM,KUL,2024-02-12,2024-02-14,economy,4370,,,720.00,USD,AK-MN44R1
TRP-2024-0019,EMP-0901,Sales,hotel,,KUL,2024-02-12,2024-02-14,,,2,Mandarin Oriental KL,660.00,USD,MO-007723
TRP-2024-0020,EMP-0554,Engineering,flight,BLR,HYD,2024-02-15,2024-02-15,economy,500,,,95.00,USD,6E-PP22L5
TRP-2024-0021,EMP-1330,HR,ground_taxi,,BLR,2024-02-18,,,,,,38.00,USD,OLA-BLR
TRP-2024-0022,EMP-0331,Finance,flight,DEL,CDG,2024-02-20,2024-02-23,business,,,,3200.00,USD,AF-KL88N2
TRP-2024-0023,EMP-0331,Finance,hotel,,CDG,2024-02-20,2024-02-23,,,3,Le Meridien Paris,1350.00,USD,LM-004491
TRP-2024-0024,EMP-1105,HR,flight,BLR,CCU,2024-03-04,2024-03-06,economy,1670,,,280.00,USD,AI-HB77T3
TRP-2024-0025,EMP-1220,Sales,flight,JFK,LAX,2024-03-08,2024-03-10,economy,4500,,,390.00,USD,DL-WW22P8
TRP-2024-0026,EMP-1220,Sales,hotel,,LAX,2024-03-08,2024-03-10,,,2,W Hollywood,840.00,USD,WH-001188
TRP-2024-0027,EMP-0212,Operations,ground_taxi,,MUM,2024-03-11,,,,,,55.00,USD,UBER-MUM
TRP-2024-0028,EMP-0789,Engineering,flight,SFO,BLR,2024-03-12,2024-03-12,economy,,,,1720.00,USD,UA-GH33K8
TRP-2024-0029,EMP-0871,Sales,flight,BOM,NRT,2024-03-15,2024-03-20,business,,,,3900.00,USD,JL-QQ55H1
TRP-2024-0030,EMP-0871,Sales,hotel,,NRT,2024-03-15,2024-03-20,,,5,Park Hyatt Tokyo,4500.00,USD,HY-771209
