meter_id,site_name,billing_period_start,billing_period_end,read_date,previous_reading,current_reading,consumption,unit,tariff_code,supply_voltage,account_number
MTR-BLR-001,Bangalore HQ - Main Building,2024-01-01,2024-01-31,2024-02-03,104520.3,106718.7,2198.4,kWh,COMM-HT-1,11kV,ACC-00123
MTR-BLR-002,Bangalore HQ - Data Centre,2024-01-01,2024-01-31,2024-02-03,78340.1,83621.9,5281.8,kWh,COMM-HT-2,33kV,ACC-00124
MTR-BLR-003,Bangalore HQ - Cafeteria Block,2024-01-01,2024-01-31,2024-02-03,12004.0,12489.2,485.2,kWh,COMM-LT-1,415V,ACC-00125
MTR-MUM-001,Mumbai Office - Floor 12-18,2024-01-01,2024-01-31,2024-02-05,230100.5,233560.0,3459.5,kWh,COMM-HT-1,11kV,ACC-00201
MTR-MUM-002,Mumbai Office - Basement Parking,2024-01-01,2024-01-31,2024-02-05,8820.2,9140.8,320.6,kWh,COMM-LT-1,415V,ACC-00202
MTR-BLR-001,Bangalore HQ - Main Building,2024-02-01,2024-02-29,2024-03-04,106718.7,108790.1,2071.4,kWh,COMM-HT-1,11kV,ACC-00123
MTR-BLR-002,Bangalore HQ - Data Centre,2024-02-01,2024-02-29,2024-03-04,83621.9,88934.4,5312.5,kWh,COMM-HT-2,33kV,ACC-00124
MTR-BLR-003,Bangalore HQ - Cafeteria Block,2024-02-01,2024-02-29,2024-03-04,12489.2,12901.0,411.8,kWh,COMM-LT-1,415V,ACC-00125
MTR-MUM-001,Mumbai Office - Floor 12-18,2024-02-01,2024-02-29,2024-03-06,233560.0,237244.5,3684.5,kWh,COMM-HT-1,11kV,ACC-00201
MTR-MUM-002,Mumbai Office - Basement Parking,2024-02-01,2024-02-29,2024-03-06,9140.8,9468.3,327.5,kWh,COMM-LT-1,415V,ACC-00202
MTR-BLR-001,Bangalore HQ - Main Building,2024-03-01,2024-03-31,2024-04-02,108790.1,111102.9,2312.8,kWh,COMM-HT-1,11kV,ACC-00123
MTR-BLR-002,Bangalore HQ - Data Centre,2024-03-01,2024-03-31,2024-04-02,88934.4,94388.7,5454.3,kWh,COMM-HT-2,33kV,ACC-00124
MTR-BLR-003,Bangalore HQ - Cafeteria Block,2024-03-01,2024-03-31,2024-04-02,12901.0,13420.5,519.5,kWh,COMM-LT-1,415V,ACC-00125
MTR-MUM-001,Mumbai Office - Floor 12-18,2024-03-01,2024-03-31,2024-04-04,237244.5,240918.0,3673.5,kWh,COMM-HT-1,11kV,ACC-00201
MTR-BLR-002,Bangalore HQ - Data Centre,2024-03-01,2024-03-31,2024-04-02,88934.4,109000.0,20065.6,kWh,COMM-HT-2,33kV,ACC-00124
MTR-MUM-002,Mumbai Office - Basement Parking,2024-03-01,2024-03-31,2024-04-04,9468.3,9801.7,333.4,kWh,COMM-LT-1,415V,ACC-00202
MTR-BLR-004,Bangalore Warehouse,2024-01-01,2024-01-31,2024-02-06,45200.0,46388.0,1188.0,kWh,COMM-LT-2,415V,ACC-00126
MTR-BLR-004,Bangalore Warehouse,2024-02-01,2024-02-29,2024-03-07,46388.0,47491.5,1103.5,kWh,COMM-LT-2,415V,ACC-00126
MTR-BLR-004,Bangalore Warehouse,2024-03-01,2024-03-31,2024-04-05,47491.5,48704.0,1212.5,kWh,COMM-LT-2,415V,ACC-00126
MTR-MUM-001,Mumbai Office - Floor 12-18,2024-02-01,2024-02-29,2024-03-06,233560.0,237244.5,3684.5,kWh,COMM-HT-1,11kV,ACC-00201
